Color Name,HEX Code,Description,Emotion,Personality,Mood,Symbolism,Use Case,Keywords,combined_text
Cobalt Blue,#1968A8,"A rich, deep shade of blue with hints of purple.","Calm, Professional, Trustworthy","Reliable, Mysterious, Confident","Cool, Serene, Elegant","It may symbolize intelligence and wisdom, as cobalt is a rare element with complex properties. In some cultures, blue represents the depth of the sea or sky, suggesting infinity or stability.","Ideal for professional designs such as corporate branding, websites, logos, and formal invitations.","Deep, Rich, Profession, Elegant, Cool, Calm, Trustworthy, Mysterious, Intelligence, Wisdom, Formal.","A rich, deep shade of blue with hints of purple. Calm, Professional, Trustworthy Reliable, Mysterious, Confident Cool, Serene, Elegant It may symbolize intelligence and wisdom, as cobalt is a rare element with complex properties. In some cultures, blue represents the depth of the sea or sky, suggesting infinity or stability. Ideal for professional designs such as corporate branding, websites, logos, and formal invitations. Deep, Rich, Profession, Elegant, Cool, Calm, Trustworthy, Mysterious, Intelligence, Wisdom, Formal."
Seafoam Green,#67E8B8,"A luminous shade of green with a blue undertone, reminiscent of sea water.","Calming, refreshing","Peaceful, gentle, easy-going","Relaxing, soothing, tranquil","Growth, renewal, harmony",Ideal for creating a serene and calming environment in interior design or graphic design.,"Aquatic, Calm, Fresh, Renewal, Soothing","A luminous shade of green with a blue undertone, reminiscent of sea water. Calming, refreshing Peaceful, gentle, easy-going Relaxing, soothing, tranquil Growth, renewal, harmony Ideal for creating a serene and calming environment in interior design or graphic design. Aquatic, Calm, Fresh, Renewal, Soothing"
Crimson Red,#D03495,A deep and vivid shade of red.,"Passionate, Dramatic","Bold, Daring","Intense, Energetic","Love, Courage, Anger, Determination",Ideal for bold statements in graphic design and branding.,"Intense, Deep, Vivid, Dramatic, Bold, Passionate, Love, Courage, Anger, Determination, Graphic Design, Branding, Marketing","A deep and vivid shade of red. Passionate, Dramatic Bold, Daring Intense, Energetic Love, Courage, Anger, Determination Ideal for bold statements in graphic design and branding. Intense, Deep, Vivid, Dramatic, Bold, Passionate, Love, Courage, Anger, Determination, Graphic Design, Branding, Marketing"
#08E079 or Lime Green,#08E079,A vibrant shade of green with a strong yellow undertone.,"Energetic, Exciting","Vibrant, Outgoing, Bold","Fresh, Invigorating","Growth, Renewal, Positivity","Ideal for designs seeking a lively and modern aesthetic, such as branding for environmentally-friendly products or technology companies.","Bright, Vivid, Lime, Green, Modern, Energy, Technology, Nature, Environment, Freshness, Invigorating, Renewal, Positivity, Growth.","A vibrant shade of green with a strong yellow undertone. Energetic, Exciting Vibrant, Outgoing, Bold Fresh, Invigorating Growth, Renewal, Positivity Ideal for designs seeking a lively and modern aesthetic, such as branding for environmentally-friendly products or technology companies. Bright, Vivid, Lime, Green, Modern, Energy, Technology, Nature, Environment, Freshness, Invigorating, Renewal, Positivity, Growth."
Indigo (Dark),#1A23BE,"A deep, rich shade of indigo.","Serene, Mysterious","Intense, Mysterious, Dependable","Calm, Dreamy, Enigmatic","Represents spirituality, wisdom, and intuition. In some cultures, it symbolizes royalty.","Ideal for creating a sophisticated, mysterious atmosphere in design.","Deep, Rich, Dark, Blue, Spiritual, Calm, Royal, Enigmatic","A deep, rich shade of indigo. Serene, Mysterious Intense, Mysterious, Dependable Calm, Dreamy, Enigmatic Represents spirituality, wisdom, and intuition. In some cultures, it symbolizes royalty. Ideal for creating a sophisticated, mysterious atmosphere in design. Deep, Rich, Dark, Blue, Spiritual, Calm, Royal, Enigmatic"
Emerald Green,#0E8E69,A lively and invigorating shade of green.,"Freshness, Energy","Vital, Energetic, Spirited","Invigorating, Exciting","Growth, Renewal, Abundance","Ideal for outdoor advertising, branding for environmentally friendly companies, or designs that seek to evoke a sense of energy and vitality.","Bright, Vibrant, Fresh, Lively, Energy, Growth, Nature, Renewal, Abundance, Exciting, Invigorating, Eco-Friendly, Outdoor Advertising.","A lively and invigorating shade of green. Freshness, Energy Vital, Energetic, Spirited Invigorating, Exciting Growth, Renewal, Abundance Ideal for outdoor advertising, branding for environmentally friendly companies, or designs that seek to evoke a sense of energy and vitality. Bright, Vibrant, Fresh, Lively, Energy, Growth, Nature, Renewal, Abundance, Exciting, Invigorating, Eco-Friendly, Outdoor Advertising."
Deep Purple,#5F246D,A rich and deep shade of purple.,"Majestic, Mysterious","Dignified, Introspective","Elegant, Regal","Wisdom, luxury, mystery, spirituality","Ideal for formal events, high-end product branding, and sophisticated designs.","Purple, royal, elegant, mysterious, luxurious, deep, rich.","A rich and deep shade of purple. Majestic, Mysterious Dignified, Introspective Elegant, Regal Wisdom, luxury, mystery, spirituality Ideal for formal events, high-end product branding, and sophisticated designs. Purple, royal, elegant, mysterious, luxurious, deep, rich."
"Purple-Red (Dusky Wine, Raspberry Rose)",#D64CBC,A deep and vibrant blend of red and purple.,"Passionate, Dramatic","Bold, Mysterious, Elegant","Intense, Rich, Luxurious","Represents power, love, ambition, and spirituality. It can also symbolize luxury and royalty.","Ideal for dramatic accents in interior design, high-end fashion, or bold makeup choices.","Intense, Deep, Rich, Dramatic, Bold, Luxurious, Royal, Mysterious, Passionate, Love, Power, Spirituality.","A deep and vibrant blend of red and purple. Passionate, Dramatic Bold, Mysterious, Elegant Intense, Rich, Luxurious Represents power, love, ambition, and spirituality. It can also symbolize luxury and royalty. Ideal for dramatic accents in interior design, high-end fashion, or bold makeup choices. Intense, Deep, Rich, Dramatic, Bold, Luxurious, Royal, Mysterious, Passionate, Love, Power, Spirituality."
Teal Green (#22908F),#22908F,A refreshing and invigorating shade of teal green.,"Calm, Serene, Relaxing","Intelligent, Creative, Trustworthy","Cool, Fresh, Refreshing","Balance, Harmony, Stability",Ideal for calming spaces such as bedrooms and waiting rooms. Also suitable for professional settings like corporate branding or design elements in technology companies.,"Natural, Serene, Cool, Professional, Technology, Relaxing, Trustworthy, Creative, Fresh, Calm.","A refreshing and invigorating shade of teal green. Calm, Serene, Relaxing Intelligent, Creative, Trustworthy Cool, Fresh, Refreshing Balance, Harmony, Stability Ideal for calming spaces such as bedrooms and waiting rooms. Also suitable for professional settings like corporate branding or design elements in technology companies. Natural, Serene, Cool, Professional, Technology, Relaxing, Trustworthy, Creative, Fresh, Calm."
Medium Purple-Red,#B96BFD,A vibrant and captivating blend of purple and red.,"Passionate, Dramatic","Bold, Fiery, Unconventional","Striking, Energetic","Represents a combination of passion, love, creativity, and spirituality.","Ideal for branding in fashion, cosmetics, art, technology, and luxury products.","Vibrant, Bold, Dramatic, Unique, Passionate, Creative, Spiritual, Luxury, Fashion, Technology","A vibrant and captivating blend of purple and red. Passionate, Dramatic Bold, Fiery, Unconventional Striking, Energetic Represents a combination of passion, love, creativity, and spirituality. Ideal for branding in fashion, cosmetics, art, technology, and luxury products. Vibrant, Bold, Dramatic, Unique, Passionate, Creative, Spiritual, Luxury, Fashion, Technology"
Dark Purple,#26276B,A rich and mysterious shade of purple.,"Majestic, Elegant","Mysterious, Powerful, Sophisticated","Regal, Serene","Spirituality, Ambition, Wisdom","Ideal for elegant designs, luxury brands, and formal events.","Royalty, Elegance, Luxury, Mysterious, Dark, Deep Purple","A rich and mysterious shade of purple. Majestic, Elegant Mysterious, Powerful, Sophisticated Regal, Serene Spirituality, Ambition, Wisdom Ideal for elegant designs, luxury brands, and formal events. Royalty, Elegance, Luxury, Mysterious, Dark, Deep Purple"
Sage Green,#024124,"A rich, dark shade of green.",Tranquility,Calm and grounded.,Serene and earthy.,"Growth, harmony, and balance.",Ideal for creating a soothing atmosphere in spaces such as offices or homes.,"Earthy, calming, rich, dark green, tranquility, growth, harmony, serene, natural, earthy tones.","A rich, dark shade of green. Tranquility Calm and grounded. Serene and earthy. Growth, harmony, and balance. Ideal for creating a soothing atmosphere in spaces such as offices or homes. Earthy, calming, rich, dark green, tranquility, growth, harmony, serene, natural, earthy tones."
Lime Green,#56A126,"A bright, fresh shade of green.","Excitement, Energy","Spirited, Adventurous","Playful, Invigorating","Growth, Renewal, Success in the face of adversity","Ideal for highlighting important text or elements in design projects, particularly those related to nature and sustainability.","Vibrant, Fresh, Spirited, Energy, Nature, Sustainability","A bright, fresh shade of green. Excitement, Energy Spirited, Adventurous Playful, Invigorating Growth, Renewal, Success in the face of adversity Ideal for highlighting important text or elements in design projects, particularly those related to nature and sustainability. Vibrant, Fresh, Spirited, Energy, Nature, Sustainability"
Dark Plum Magenta,#9A128A,A deep and rich shade of plum with a magenta undertone.,"Passionate, Dramatic","Mysterious, Intense","Romantic, Exotic","In many cultures, the color purple is associated with power, luxury, and creativity. It can also symbolize spirituality and wisdom. In this specific shade, it may represent a deep, emotional connection or profound mystery.","Ideal for bold design elements such as logos, headlines, or dramatic background colors in various creative projects like branding, packaging, or graphic design.","Deep, Vibrant, Mysterious, Passionate, Dramatic, Romantic, Exotic, Spiritual, Luxurious, Creative","A deep and rich shade of plum with a magenta undertone. Passionate, Dramatic Mysterious, Intense Romantic, Exotic In many cultures, the color purple is associated with power, luxury, and creativity. It can also symbolize spirituality and wisdom. In this specific shade, it may represent a deep, emotional connection or profound mystery. Ideal for bold design elements such as logos, headlines, or dramatic background colors in various creative projects like branding, packaging, or graphic design. Deep, Vibrant, Mysterious, Passionate, Dramatic, Romantic, Exotic, Spiritual, Luxurious, Creative"
Medium Cyan,#4BBFBC,"A vibrant shade of cyan, between light blue and green.","Refreshing, invigorating","Vibrant, spirited, innovative","Energetic, modern","It may symbolize creativity, technology, and communication.","Ideal for web design elements, branding, and product packaging that seek a fresh, tech-savvy image.","Fresh, vibrant, cool, energetic, modern, creative, technology, communication, web design, branding, packaging.","A vibrant shade of cyan, between light blue and green. Refreshing, invigorating Vibrant, spirited, innovative Energetic, modern It may symbolize creativity, technology, and communication. Ideal for web design elements, branding, and product packaging that seek a fresh, tech-savvy image. Fresh, vibrant, cool, energetic, modern, creative, technology, communication, web design, branding, packaging."
Ash Grayish Brown,#585950,"A deep, earthy shade with a hint of coolness.","Calm, Grounded, Reliable","Resilient, Steady, Dependable","Sturdy, Solid, Robust","Connection to nature, strength, stability, and endurance.","Excellent for minimalist designs, as a background color in branding, or for creating a rustic atmosphere.","Earthy, Cool, Neutral, Minimalist, Natural, Rugged, Stable, Reliable","A deep, earthy shade with a hint of coolness. Calm, Grounded, Reliable Resilient, Steady, Dependable Sturdy, Solid, Robust Connection to nature, strength, stability, and endurance. Excellent for minimalist designs, as a background color in branding, or for creating a rustic atmosphere. Earthy, Cool, Neutral, Minimalist, Natural, Rugged, Stable, Reliable"
Sage Green,#617008,"A deep, earthy shade of green with a hint of yellow.","Calmness, Serenity, Stability","Reliable, Grounded, Earthy","Natural, Comfortable, Warm","Growth, Harmony, Balance, Connection to nature.","Ideal for creating a natural, organic feel in spaces, like living rooms or outdoor areas.","Deep Green, Earthy, Organic, Natural, Calming, Reliable.","A deep, earthy shade of green with a hint of yellow. Calmness, Serenity, Stability Reliable, Grounded, Earthy Natural, Comfortable, Warm Growth, Harmony, Balance, Connection to nature. Ideal for creating a natural, organic feel in spaces, like living rooms or outdoor areas. Deep Green, Earthy, Organic, Natural, Calming, Reliable."
Rosy Mauve,#CE8995,"A soft, warm shade of mauve with a hint of pink.","Warmth, Intimacy","Tender, Romantic","Cozy, Nostalgic","Innocence, Love","Ideal for romantic design elements, softening harsh spaces, and creating a warm, inviting atmosphere.","Warm, Soft, Intimate, Cozy, Romantic, Pastel, Mauve, Pinkish, Inviting.","A soft, warm shade of mauve with a hint of pink. Warmth, Intimacy Tender, Romantic Cozy, Nostalgic Innocence, Love Ideal for romantic design elements, softening harsh spaces, and creating a warm, inviting atmosphere. Warm, Soft, Intimate, Cozy, Romantic, Pastel, Mauve, Pinkish, Inviting."
